sub_id,file_name,Null,rHW,cHW,HW
1,data/processed/OCDetect_01_features.csv,69669,78,729,807
2,data/processed/OCDetect_02_features.csv,76195,1003,15,1018
3,data/processed/OCDetect_03_features.csv,57786,490,555,1045
4,data/processed/OCDetect_04_features.csv,62331,17,610,627
7,data/processed/OCDetect_07_features.csv,20602,153,17,170
9,data/processed/OCDetect_09_features.csv,31001,172,35,207
10,data/processed/OCDetect_10_features.csv,32515,83,0,83
11,data/processed/OCDetect_11_features.csv,72063,259,196,455
12,data/processed/OCDetect_12_features.csv,11732,86,246,332
13,data/processed/OCDetect_13_features.csv,53210,64,233,297
15,data/processed/OCDetect_15_features.csv,28264,110,106,216
18,data/processed/OCDetect_18_features.csv,80031,325,1550,1875
19,data/processed/OCDetect_19_features.csv,90671,505,66,571
20,data/processed/OCDetect_20_features.csv,89245,61,1771,1832
21,data/processed/OCDetect_21_features.csv,54038,519,13,532
22,data/processed/OCDetect_22_features.csv,29507,52,131,183
24,data/processed/OCDetect_24_features.csv,16253,61,40,101
25,data/processed/OCDetect_25_features.csv,52732,342,101,443
27,data/processed/OCDetect_27_features.csv,19141,86,46,132
29,data/processed/OCDetect_29_features.csv,33820,81,101,182
30,data/processed/OCDetect_30_features.csv,55948,250,578,828
