Classifier,Precision,Sensitivity,Specificity,F1-Score,Accuracy,Precision,Sensitivity,F1-Score,Accuracy,Precision,Sensitivity,F1-Score,Accuracy
logistic_regression,0.34,0.57,0.0,0.07,0.1,0.34,0.56,0.17,0.31,0.33,0.32,0.11,0.19
random_forest,0.34,0.61,0.0,0.12,0.21,0.35,0.74,0.29,0.65,0.33,0.32,0.3,0.81
SGDClassifier,0.33,0.33,0.0,0.01,0.01,0.33,0.36,0.06,0.1,0.33,0.33,0.16,0.29
Perceptron,0.33,0.36,0.0,0.15,0.28,0.34,0.46,0.28,0.66,0.33,0.3,0.28,0.71
Dummy,0.0,0.33,0.0,0.0,0.01,0.0,0.33,0.0,0.01,0.0,0.33,0.01,0.01
logistic_regression,0.35,0.46,0.0,0.2,0.35,0.34,0.58,0.18,0.33,0.34,0.27,0.08,0.13
random_forest,0.43,0.44,0.0,0.39,0.91,0.35,0.72,0.33,0.79,0.33,0.34,0.33,0.95
SGDClassifier,0.33,0.35,0.0,0.04,0.07,0.33,0.35,0.05,0.08,0.33,0.34,0.02,0.02
Perceptron,0.33,0.36,0.0,0.14,0.25,0.33,0.41,0.2,0.42,0.33,0.34,0.12,0.2
Dummy,0.0,0.33,0.0,0.0,0.01,0.0,0.33,0.0,0.01,0.0,0.33,0.01,0.01
logistic_regression,0.35,0.59,0.0,0.25,0.49,0.34,0.57,0.19,0.37,0.33,0.29,0.17,0.33
random_forest,0.47,0.43,0.0,0.15,0.12,0.35,0.7,0.29,0.63,0.33,0.34,0.32,0.9
SGDClassifier,0.41,0.54,0.0,0.28,0.67,0.35,0.49,0.29,0.69,0.33,0.3,0.21,0.44
Perceptron,0.55,0.33,0.0,0.33,0.98,0.34,0.38,0.34,0.94,0.33,0.3,0.21,0.45
Dummy,0.0,0.33,0.0,0.0,0.01,0.0,0.33,0.0,0.01,0.0,0.33,0.01,0.01
logistic_regression,0.34,0.43,0.0,0.08,0.12,0.34,0.57,0.17,0.32,0.33,0.34,0.02,0.02
random_forest,0.67,0.53,0.0,0.51,0.73,0.35,0.73,0.32,0.74,0.33,0.34,0.33,0.94
SGDClassifier,0.34,0.51,0.0,0.24,0.51,0.34,0.49,0.25,0.56,0.33,0.28,0.17,0.32
Perceptron,0.34,0.48,0.0,0.18,0.35,0.34,0.53,0.19,0.36,0.33,0.26,0.08,0.12
Dummy,0.0,0.33,0.0,0.0,0.01,0.0,0.33,0.0,0.01,0.0,0.33,0.01,0.01
